nomor,tahun,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kelahiran,jumlah_bayi,jumlah_balita
0,2017-01-01,3201,KABUPATEN BOGOR,121415.0,3120.0,
1,2017-01-01,3202,KABUPATEN SUKABUMI,46239.0,2546.0,
2,2017-01-01,3203,KABUPATEN CIANJUR,42713.0,1808.0,
3,2017-01-01,3204,KABUPATEN BANDUNG,69205.0,611.0,
4,2017-01-01,3205,KABUPATEN GARUT,52965.0,195.0,
5,2017-01-01,3206,KABUPATEN TASIKMALAYA,30753.0,1200.0,
6,2017-01-01,3207,KABUPATEN CIAMIS,18492.0,212.0,
7,2017-01-01,3208,KABUPATEN KUNINGAN,19525.0,299.0,
8,2017-01-01,3209,KABUPATEN CIREBON,47211.0,1853.0,
9,2017-01-01,3210,KABUPATEN MAJALENGKA,20224.0,333.0,
10,2017-01-01,3211,KABUPATEN SUMEDANG,19819.0,578.0,
11,2017-01-01,3212,KABUPATEN INDRAMAYU,34362.0,585.0,
12,2017-01-01,3213,KABUPATEN SUBANG,27865.0,504.0,
13,2017-01-01,3214,KABUPATEN PURWAKARTA,19534.0,476.0,
14,2017-01-01,3215,KABUPATEN KARAWANG,44903.0,501.0,
15,2017-01-01,3216,KABUPATEN BEKASI,74907.0,294.0,
16,2017-01-01,3217,KABUPATEN BANDUNG BARAT,29904.0,452.0,
17,2017-01-01,3218,KABUPATEN PANGANDARAN,6191.0,69.0,
18,2017-01-01,3271,KOTA BOGOR,20502.0,381.0,
19,2017-01-01,3272,KOTA SUKABUMI,6010.0,115.0,
20,2017-01-01,3273,KOTA BANDUNG,41850.0,224.0,
21,2017-01-01,3274,KOTA CIREBON,5395.0,216.0,
22,2017-01-01,3275,KOTA BEKASI,47065.0,586.0,
23,2017-01-01,3276,KOTA DEPOK,42665.0,389.0,
24,2017-01-01,3277,KOTA CIMAHI,10528.0,193.0,
25,2017-01-01,3278,KOTA TASIKMALAYA,11991.0,463.0,
26,2017-01-01,3279,KOTA BANJAR,3138.0,87.0,
27,2018-01-01,3201,KABUPATEN BOGOR,117350.0,79.0,
28,2018-01-01,3202,KABUPATEN SUKABUMI,44461.0,63.0,
29,2018-01-01,3203,KABUPATEN CIANJUR,44262.0,182.0,
30,2018-01-01,3204,KABUPATEN BANDUNG,67965.0,0.0,
31,2018-01-01,3205,KABUPATEN GARUT,54697.0,78.0,
32,2018-01-01,3206,KABUPATEN TASIKMALAYA,30591.0,30.0,
33,2018-01-01,3207,KABUPATEN CIAMIS,19363.0,106.0,
34,2018-01-01,3208,KABUPATEN KUNINGAN,19825.0,0.0,
35,2018-01-01,3209,KABUPATEN CIREBON,47771.0,306.0,
36,2018-01-01,3210,KABUPATEN MAJALENGKA,20640.0,11.0,
37,2018-01-01,3211,KABUPATEN SUMEDANG,19208.0,51.0,
38,2018-01-01,3212,KABUPATEN INDRAMAYU,34707.0,47.0,
39,2018-01-01,3213,KABUPATEN SUBANG,30969.0,5.0,
40,2018-01-01,3214,KABUPATEN PURWAKARTA,19096.0,72.0,
41,2018-01-01,3215,KABUPATEN KARAWANG,43964.0,0.0,
42,2018-01-01,3216,KABUPATEN BEKASI,72867.0,147.0,
43,2018-01-01,3217,KABUPATEN BANDUNG BARAT,29828.0,17.0,
44,2018-01-01,3218,KABUPATEN PANGANDARAN,6112.0,54.0,
45,2018-01-01,3271,KOTA BOGOR,19669.0,65.0,
46,2018-01-01,3272,KOTA SUKABUMI,5997.0,15.0,
47,2018-01-01,3273,KOTA BANDUNG,41001.0,648.0,
48,2018-01-01,3274,KOTA CIREBON,5652.0,37.0,
49,2018-01-01,3275,KOTA BEKASI,47313.0,209.0,
50,2018-01-01,3276,KOTA DEPOK,43227.0,76.0,
51,2018-01-01,3277,KOTA CIMAHI,10767.0,31.0,
52,2018-01-01,3278,KOTA TASIKMALAYA,12016.0,0.0,
53,2018-01-01,3279,KOTA BANJAR,0.0,0.0,
54,2019-01-01,3201,KABUPATEN BOGOR,118195.0,,
55,2019-01-01,3203,KABUPATEN CIANJUR,41126.0,,
56,2019-01-01,3204,KABUPATEN BANDUNG,67767.0,,
57,2019-01-01,3206,KABUPATEN TASIKMALAYA,30724.0,,
58,2019-01-01,3207,KABUPATEN CIAMIS,19146.0,,
59,2019-01-01,3208,KABUPATEN KUNINGAN,19454.0,,
60,2019-01-01,3209,KABUPATEN CIREBON,48414.0,,
61,2019-01-01,3210,KABUPATEN MAJALENGKA,20437.0,,
62,2019-01-01,3211,KABUPATEN SUMEDANG,18813.0,,
63,2019-01-01,3212,KABUPATEN INDRAMAYU,34585.0,,
64,2019-01-01,3213,KABUPATEN SUBANG,31918.0,,
65,2019-01-01,3214,KABUPATEN PURWAKARTA,19273.0,,
66,2019-01-01,3215,KABUPATEN KARAWANG,44850.0,,
67,2019-01-01,3216,KABUPATEN BEKASI,79734.0,,
68,2019-01-01,3217,KABUPATEN BANDUNG BARAT,30337.0,,
69,2019-01-01,3218,KABUPATEN PANGANDARAN,6074.0,,
70,2019-01-01,3271,KOTA BOGOR,20195.0,,
71,2019-01-01,3272,KOTA SUKABUMI,6076.0,,
72,2019-01-01,3273,KOTA BANDUNG,41834.0,,
73,2019-01-01,3274,KOTA CIREBON,5491.0,,
74,2019-01-01,3275,KOTA BEKASI,49545.0,,
75,2019-01-01,3276,KOTA DEPOK,43856.0,,
76,2019-01-01,3277,KOTA CIMAHI,10805.0,,
77,2019-01-01,3278,KOTA TASIKMALAYA,11710.0,,
78,2019-01-01,3279,KOTA BANJAR,3031.0,,
79,2020-01-01,3201,KABUPATEN BOGOR,113552.0,,21322.0
80,2020-01-01,3202,KABUPATEN SUKABUMI,0.0,,8838.0
81,2020-01-01,3203,KABUPATEN CIANJUR,0.0,,9069.0
82,2020-01-01,3204,KABUPATEN BANDUNG,66902.0,,13728.0
83,2020-01-01,3205,KABUPATEN GARUT,52256.0,,9128.0
84,2020-01-01,3206,KABUPATEN TASIKMALAYA,30357.0,,9275.0
85,2020-01-01,3208,KABUPATEN KUNINGAN,19315.0,,4265.0
86,2020-01-01,3209,KABUPATEN CIREBON,47531.0,,15737.0
87,2020-01-01,3210,KABUPATEN MAJALENGKA,20967.0,,4549.0
88,2020-01-01,3211,KABUPATEN SUMEDANG,19060.0,,5784.0
89,2020-01-01,3212,KABUPATEN INDRAMAYU,30054.0,,5218.0
90,2020-01-01,3213,KABUPATEN SUBANG,33176.0,,2977.0
91,2020-01-01,3214,KABUPATEN PURWAKARTA,17545.0,,2648.0
92,2020-01-01,3215,KABUPATEN KARAWANG,42965.0,,4647.0
93,2020-01-01,3216,KABUPATEN BEKASI,77386.0,,6723.0
94,2020-01-01,3217,KABUPATEN BANDUNG BARAT,30337.0,,6130.0
95,2020-01-01,3218,KABUPATEN PANGANDARAN,6095.0,,161.0
96,2020-01-01,3271,KOTA BOGOR,18742.0,,2915.0
97,2020-01-01,3272,KOTA SUKABUMI,6152.0,,1333.0
98,2020-01-01,3273,KOTA BANDUNG,34366.0,,7910.0
99,2020-01-01,3274,KOTA CIREBON,5163.0,,2149.0
100,2020-01-01,3275,KOTA BEKASI,46077.0,,8228.0
101,2020-01-01,3276,KOTA DEPOK,44480.0,,5948.0
102,2020-01-01,3277,KOTA CIMAHI,10361.0,,2491.0
103,2020-01-01,3278,KOTA TASIKMALAYA,11830.0,,3738.0
104,2020-01-01,3279,KOTA BANJAR,2951.0,,1086.0
105,2020-01-01,3207,KABUPATEN CIAMIS,,,4810.0
106,2021-01-01,3201,KABUPATEN BOGOR,,,16821.0
107,2021-01-01,3202,KABUPATEN SUKABUMI,,,6099.0
108,2021-01-01,3203,KABUPATEN CIANJUR,,,5788.0
109,2021-01-01,3204,KABUPATEN BANDUNG,,,8809.0
110,2021-01-01,3205,KABUPATEN GARUT,,,313.0
111,2021-01-01,3206,KABUPATEN TASIKMALAYA,,,4572.0
