,kode_kabupaten_kota,nama_kabupaten_kota,BBLR_persentase,tahun,jumlah_kelahiran,BBLR_jumlah
0,3201,KABUPATEN BOGOR,1.4,2019-01-01,118362,1657
1,3202,KABUPATEN SUKABUMI,4.6,2019-01-01,0,0
2,3203,KABUPATEN CIANJUR,2.8,2019-01-01,41132,1151
3,3204,KABUPATEN BANDUNG,2.7,2019-01-01,67857,1832
4,3205,KABUPATEN GARUT,2.2,2019-01-01,0,0
5,3206,KABUPATEN TASIKMALAYA,3.8,2019-01-01,30903,1174
6,3207,KABUPATEN CIAMIS,4.2,2019-01-01,19271,809
7,3208,KABUPATEN KUNINGAN,5.9,2019-01-01,19511,1151
8,3209,KABUPATEN CIREBON,3.3,2019-01-01,48414,1597
9,3210,KABUPATEN MAJALENGKA,4.1,2019-01-01,20491,840
10,3211,KABUPATEN SUMEDANG,3.0,2019-01-01,18824,564
11,3212,KABUPATEN INDRAMAYU,3.1,2019-01-01,34736,1076
12,3213,KABUPATEN SUBANG,1.9,2019-01-01,32013,608
13,3214,KABUPATEN PURWAKARTA,2.4,2019-01-01,19371,464
14,3215,KABUPATEN KARAWANG,2.5,2019-01-01,44931,1123
15,3216,KABUPATEN BEKASI,0.6,2019-01-01,79769,478
16,3217,KABUPATEN BANDUNG BARAT,2.4,2019-01-01,30558,733
17,3218,KABUPATEN PANGANDARAN,3.2,2019-01-01,6127,196
18,3271,KOTA BOGOR,1.2,2019-01-01,20319,243
19,3272,KOTA SUKABUMI,5.2,2019-01-01,6091,316
20,3273,KOTA BANDUNG,2.2,2019-01-01,41952,922
21,3274,KOTA CIREBON,3.6,2019-01-01,5523,198
22,3275,KOTA BEKASI,0.6,2019-01-01,49818,298
23,3276,KOTA DEPOK,0.9,2019-01-01,43895,395
24,3277,KOTA CIMAHI,3.1,2019-01-01,10844,336
25,3278,KOTA TASIKMALAYA,3.2,2019-01-01,11715,374
26,3279,KOTA BANJAR,4.3,2019-01-01,3064,131
27,3201,KABUPATEN BOGOR,1.5,2020-01-01,113665,1704
28,3202,KABUPATEN SUKABUMI,4.7,2020-01-01,0,0
29,3203,KABUPATEN CIANJUR,2.8,2020-01-01,0,0
30,3204,KABUPATEN BANDUNG,2.5,2020-01-01,66974,1674
31,3205,KABUPATEN GARUT,2.2,2020-01-01,52621,1157
32,3206,KABUPATEN TASIKMALAYA,4.1,2020-01-01,30506,1250
33,3207,KABUPATEN CIAMIS,5.1,2020-01-01,0,0
34,3208,KABUPATEN KUNINGAN,6.5,2020-01-01,19315,1255
35,3209,KABUPATEN CIREBON,3.9,2020-01-01,47608,1856
36,3210,KABUPATEN MAJALENGKA,5.2,2020-01-01,21030,1093
37,3211,KABUPATEN SUMEDANG,3.1,2020-01-01,19156,593
38,3212,KABUPATEN INDRAMAYU,4.1,2020-01-01,30154,1236
39,3213,KABUPATEN SUBANG,2.5,2020-01-01,33280,832
40,3214,KABUPATEN PURWAKARTA,2.5,2020-01-01,17650,441
41,3215,KABUPATEN KARAWANG,2.6,2020-01-01,43049,1119
42,3216,KABUPATEN BEKASI,0.5,2020-01-01,77402,387
43,3217,KABUPATEN BANDUNG BARAT,2.3,2020-01-01,30558,702
44,3218,KABUPATEN PANGANDARAN,4.7,2020-01-01,6136,288
45,3271,KOTA BOGOR,1.6,2020-01-01,18792,300
46,3272,KOTA SUKABUMI,4.7,2020-01-01,6179,290
47,3273,KOTA BANDUNG,2.6,2020-01-01,34414,894
48,3274,KOTA CIREBON,4.6,2020-01-01,5189,238
49,3275,KOTA BEKASI,0.6,2020-01-01,46126,276
50,3276,KOTA DEPOK,0.6,2020-01-01,44511,267
51,3277,KOTA CIMAHI,2.0,2020-01-01,10402,208
52,3278,KOTA TASIKMALAYA,3.3,2020-01-01,11845,390
53,3279,KOTA BANJAR,4.3,2020-01-01,2979,128
