index,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kelahiran_hidup,tahun,jumlah_imunisasi_bcg,jumlah_imunisasi_dasar,jumlah_kelahiran_mati,L,P
0,3201,KABUPATEN BOGOR,LAKI-LAKI,59532,2017-01-01,57494,49743,82,1,0
1,3201,KABUPATEN BOGOR,PEREMPUAN,61883,2017-01-01,56653,48337,69,0,1
2,3202,KABUPATEN SUKABUMI,LAKI-LAKI,24043,2017-01-01,1607,1528,25,1,0
3,3202,KABUPATEN SUKABUMI,PEREMPUAN,22196,2017-01-01,1511,1454,18,0,1
4,3203,KABUPATEN CIANJUR,LAKI-LAKI,20088,2017-01-01,21688,19308,27,1,0
5,3203,KABUPATEN CIANJUR,PEREMPUAN,22625,2017-01-01,21038,18527,22,0,1
6,3204,KABUPATEN BANDUNG,LAKI-LAKI,35336,2017-01-01,34328,33653,32,1,0
7,3204,KABUPATEN BANDUNG,PEREMPUAN,33869,2017-01-01,34191,33518,17,0,1
8,3205,KABUPATEN GARUT,LAKI-LAKI,26694,2017-01-01,26199,23205,173,1,0
9,3205,KABUPATEN GARUT,PEREMPUAN,26271,2017-01-01,25066,21965,171,0,1
10,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,15704,2017-01-01,15779,15202,108,1,0
11,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,15049,2017-01-01,15294,14445,79,0,1
12,3207,KABUPATEN CIAMIS,LAKI-LAKI,9772,2017-01-01,9057,8628,70,1,0
13,3207,KABUPATEN CIAMIS,PEREMPUAN,8720,2017-01-01,8436,8038,42,0,1
14,3208,KABUPATEN KUNINGAN,LAKI-LAKI,10196,2017-01-01,9797,9435,36,1,0
15,3208,KABUPATEN KUNINGAN,PEREMPUAN,9329,2017-01-01,9151,8816,22,0,1
16,3209,KABUPATEN CIREBON,LAKI-LAKI,23434,2017-01-01,24020,22294,67,1,0
17,3209,KABUPATEN CIREBON,PEREMPUAN,23777,2017-01-01,22862,21078,55,0,1
18,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,10393,2017-01-01,10097,9458,35,1,0
19,3210,KABUPATEN MAJALENGKA,PEREMPUAN,9831,2017-01-01,9894,9107,26,0,1
20,3211,KABUPATEN SUMEDANG,LAKI-LAKI,10184,2017-01-01,9903,9842,11,1,0
21,3211,KABUPATEN SUMEDANG,PEREMPUAN,9635,2017-01-01,9509,9346,8,0,1
22,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,17495,2017-01-01,18457,16503,65,1,0
23,3212,KABUPATEN INDRAMAYU,PEREMPUAN,16867,2017-01-01,16570,14941,48,0,1
24,3213,KABUPATEN SUBANG,LAKI-LAKI,14186,2017-01-01,15152,12753,72,1,0
25,3213,KABUPATEN SUBANG,PEREMPUAN,13679,2017-01-01,15451,12728,57,0,1
26,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,9999,2017-01-01,0,0,70,1,0
27,3214,KABUPATEN PURWAKARTA,PEREMPUAN,9535,2017-01-01,0,0,51,0,1
28,3215,KABUPATEN KARAWANG,LAKI-LAKI,22233,2017-01-01,24863,20883,52,1,0
29,3215,KABUPATEN KARAWANG,PEREMPUAN,22670,2017-01-01,24487,20276,43,0,1
30,3216,KABUPATEN BEKASI,LAKI-LAKI,29888,2017-01-01,38379,34428,8,1,0
31,3216,KABUPATEN BEKASI,PEREMPUAN,45019,2017-01-01,37452,33789,16,0,1
32,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,15631,2017-01-01,15327,0,95,1,0
33,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,14273,2017-01-01,14881,0,53,0,1
34,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,3150,2017-01-01,2930,2792,33,1,0
35,3218,KABUPATEN PANGANDARAN,PEREMPUAN,3041,2017-01-01,2934,2634,23,0,1
36,3271,KOTA BOGOR,LAKI-LAKI,9752,2017-01-01,9722,9167,4,1,0
37,3271,KOTA BOGOR,PEREMPUAN,10750,2017-01-01,9800,9282,9,0,1
38,3272,KOTA SUKABUMI,LAKI-LAKI,3153,2017-01-01,3117,2489,11,1,0
39,3272,KOTA SUKABUMI,PEREMPUAN,2857,2017-01-01,2956,2405,13,0,1
40,3273,KOTA BANDUNG,LAKI-LAKI,20305,2017-01-01,21475,21585,35,1,0
41,3273,KOTA BANDUNG,PEREMPUAN,21545,2017-01-01,20842,20555,56,0,1
42,3274,KOTA CIREBON,LAKI-LAKI,2874,2017-01-01,2731,2155,15,1,0
43,3274,KOTA CIREBON,PEREMPUAN,2521,2017-01-01,2503,2316,9,0,1
44,3275,KOTA BEKASI,LAKI-LAKI,22939,2017-01-01,24533,20230,20,1,0
45,3275,KOTA BEKASI,PEREMPUAN,24126,2017-01-01,24803,21100,5,0,1
46,3276,KOTA DEPOK,LAKI-LAKI,21354,2017-01-01,20070,18271,29,1,0
47,3276,KOTA DEPOK,PEREMPUAN,21311,2017-01-01,19888,18285,19,0,1
48,3277,KOTA CIMAHI,LAKI-LAKI,5269,2017-01-01,5393,5163,20,1,0
49,3277,KOTA CIMAHI,PEREMPUAN,5259,2017-01-01,5361,5181,18,0,1
50,3278,KOTA TASIKMALAYA,LAKI-LAKI,6079,2017-01-01,6248,5832,3,1,0
51,3278,KOTA TASIKMALAYA,PEREMPUAN,5912,2017-01-01,5901,5660,6,0,1
52,3279,KOTA BANJAR,LAKI-LAKI,1611,2017-01-01,1581,1540,17,1,0
53,3279,KOTA BANJAR,PEREMPUAN,1527,2017-01-01,1530,1623,15,0,1
54,3201,KABUPATEN BOGOR,LAKI-LAKI,58209,2018-01-01,57021,53062,75,1,0
55,3201,KABUPATEN BOGOR,PEREMPUAN,59141,2018-01-01,55938,52351,69,0,1
56,3202,KABUPATEN SUKABUMI,LAKI-LAKI,22646,2018-01-01,229,19353,80,1,0
57,3202,KABUPATEN SUKABUMI,PEREMPUAN,21815,2018-01-01,22076,19058,144,0,1
58,3203,KABUPATEN CIANJUR,LAKI-LAKI,21624,2018-01-01,1782,19275,23,1,0
59,3203,KABUPATEN CIANJUR,PEREMPUAN,22638,2018-01-01,15489,18256,21,0,1
60,3204,KABUPATEN BANDUNG,LAKI-LAKI,34836,2018-01-01,3514,32715,49,1,0
61,3204,KABUPATEN BANDUNG,PEREMPUAN,33129,2018-01-01,33762,31433,28,0,1
62,3205,KABUPATEN GARUT,LAKI-LAKI,27567,2018-01-01,27119,24925,171,1,0
63,3205,KABUPATEN GARUT,PEREMPUAN,27130,2018-01-01,25997,23864,168,0,1
64,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,15769,2018-01-01,1629,11918,112,1,0
