,kode_kabupaten_kota,nama_kabupaten_kota,tahun,IBH_jumlah,IBH_jumlah_mengalami_kekurangan_energi_kronis,IBH_jumlah_resti
0,3201,KABUPATEN BOGOR,2017-01-01,127203,0,0
1,3201,KABUPATEN BOGOR,2018-01-01,127781,0,0
2,3201,KABUPATEN BOGOR,2019-01-01,128293,1802,3693
3,3201,KABUPATEN BOGOR,2020-01-01,128743,2000,3620
4,3202,KABUPATEN SUKABUMI,2017-01-01,50252,0,0
5,3202,KABUPATEN SUKABUMI,2018-01-01,51182,0,0
6,3202,KABUPATEN SUKABUMI,2019-01-01,48541,2292,3331
7,3202,KABUPATEN SUKABUMI,2020-01-01,47673,2245,3008
8,3203,KABUPATEN CIANJUR,2017-01-01,46972,0,0
9,3203,KABUPATEN CIANJUR,2018-01-01,46972,0,0
10,3203,KABUPATEN CIANJUR,2019-01-01,45277,777,1708
11,3203,KABUPATEN CIANJUR,2020-01-01,44426,1554,1966
12,3204,KABUPATEN BANDUNG,2017-01-01,79789,0,0
13,3204,KABUPATEN BANDUNG,2018-01-01,79612,0,0
14,3204,KABUPATEN BANDUNG,2019-01-01,79389,1566,2821
15,3204,KABUPATEN BANDUNG,2020-01-01,79131,1473,2189
16,3205,KABUPATEN GARUT,2017-01-01,57424,0,0
17,3205,KABUPATEN GARUT,2018-01-01,61051,0,0
18,3205,KABUPATEN GARUT,2019-01-01,55955,1920,2772
19,3205,KABUPATEN GARUT,2020-01-01,55188,2237,2996
20,3206,KABUPATEN TASIKMALAYA,2017-01-01,32844,0,0
21,3206,KABUPATEN TASIKMALAYA,2018-01-01,32657,0,0
22,3206,KABUPATEN TASIKMALAYA,2019-01-01,31560,1341,2468
23,3206,KABUPATEN TASIKMALAYA,2020-01-01,30912,1508,2789
24,3207,KABUPATEN CIAMIS,2017-01-01,19664,0,0
25,3207,KABUPATEN CIAMIS,2018-01-01,23350,0,0
26,3207,KABUPATEN CIAMIS,2019-01-01,18940,664,1187
27,3207,KABUPATEN CIAMIS,2020-01-01,18589,778,967
28,3208,KABUPATEN KUNINGAN,2017-01-01,19839,0,0
29,3208,KABUPATEN KUNINGAN,2018-01-01,19514,0,0
30,3208,KABUPATEN KUNINGAN,2019-01-01,19196,1200,2365
31,3208,KABUPATEN KUNINGAN,2020-01-01,18884,871,1193
32,3209,KABUPATEN CIREBON,2017-01-01,40953,0,0
33,3209,KABUPATEN CIREBON,2018-01-01,50176,0,0
34,3209,KABUPATEN CIREBON,2019-01-01,39998,2462,3164
35,3209,KABUPATEN CIREBON,2020-01-01,39534,1870,2768
36,3210,KABUPATEN MAJALENGKA,2017-01-01,21403,0,0
37,3210,KABUPATEN MAJALENGKA,2018-01-01,21020,0,0
38,3210,KABUPATEN MAJALENGKA,2019-01-01,20647,632,1597
39,3210,KABUPATEN MAJALENGKA,2020-01-01,20284,869,1070
40,3211,KABUPATEN SUMEDANG,2017-01-01,20023,0,0
41,3211,KABUPATEN SUMEDANG,2018-01-01,19631,0,0
42,3211,KABUPATEN SUMEDANG,2019-01-01,19230,723,870
43,3211,KABUPATEN SUMEDANG,2020-01-01,18834,727,715
44,3212,KABUPATEN INDRAMAYU,2017-01-01,30418,0,0
45,3212,KABUPATEN INDRAMAYU,2018-01-01,29942,0,0
46,3212,KABUPATEN INDRAMAYU,2019-01-01,29476,297,652
47,3212,KABUPATEN INDRAMAYU,2020-01-01,29020,284,685
48,3213,KABUPATEN SUBANG,2017-01-01,27302,0,0
49,3213,KABUPATEN SUBANG,2018-01-01,35848,0,0
50,3213,KABUPATEN SUBANG,2019-01-01,26669,671,1269
51,3213,KABUPATEN SUBANG,2020-01-01,26363,810,1307
52,3214,KABUPATEN PURWAKARTA,2017-01-01,19831,0,0
53,3214,KABUPATEN PURWAKARTA,2018-01-01,19662,0,0
54,3214,KABUPATEN PURWAKARTA,2019-01-01,19483,383,631
55,3214,KABUPATEN PURWAKARTA,2020-01-01,19300,394,628
56,3215,KABUPATEN KARAWANG,2017-01-01,46060,0,0
57,3215,KABUPATEN KARAWANG,2018-01-01,45558,0,0
58,3215,KABUPATEN KARAWANG,2019-01-01,45032,530,1241
59,3215,KABUPATEN KARAWANG,2020-01-01,44495,816,1262
60,3216,KABUPATEN BEKASI,2017-01-01,80227,0,0
61,3216,KABUPATEN BEKASI,2018-01-01,81869,0,0
